Municipio,Año,TempMax °C,TempMed °C
Ciénega,2009,31.03,"24,15"
Ciénega,2010,34.79,"25,67"
Ciénega,2011,32.11,"23,39"
Ciénega,2012,29.47,"23,87"
Ciénega,2013,33.25,"24,87"
Ciénega,2014,32.41,"24,23"
Ciénega,2015,34.11,"24,67"
Ciénega,2016,37.35,"26,19"
Ciénega,2017,32.63,"24,51"
Ciénega,2018,32.25,"25,32"
Ciénega,2019,33.47,"23,96"
Ciénega,2020,31.99,"26,08"
Ciénega,2021,29.31,"24,05"
Cómbita,2001,40.77,"30,62"
Cómbita,2002,44.41,"29,33"
Cómbita,2003,40.73,"28,33"
Cómbita,2004,40.73,"28,53"
Cómbita,2005,40.27,"27,70"
Cómbita,2006,35.57,"26,94"
Cómbita,2007,39.17,"27,27"
Cómbita,2008,37.45,"27,18"
Cómbita,2009,37.85,"27,38"
Cómbita,2010,39.19,"27,79"
Cómbita,2011,33.17,"24,49"
Cómbita,2012,36.01,"26,87"
Cómbita,2013,38.97,"28,55"
Cómbita,2014,42.37,"29,03"
Cómbita,2015,42.19,"31,38"
Cómbita,2016,45.49,"28,27"
Cómbita,2017,35.19,"26,56"
Cómbita,2018,38.21,"26,75"
Cómbita,2019,39.23,"27,90"
Cómbita,2020,41.93,"27,81"
Cómbita,2021,36.33,"30,22"
Coper,2001,35.09,"27,63"
Coper,2002,35.57,"27,45"
Coper,2003,32.45,"27,28"
Coper,2004,32.45,"27,19"
Coper,2005,32.41,"26,75"
Coper,2006,33.77,"27,11"
Coper,2007,31.77,"26,89"
Coper,2008,29.85,"25,14"
Coper,2009,32.85,"26,72"
Coper,2010,30.35,"27,14"
Coper,2011,31.09,"26,07"
Coper,2012,34.27,"26,31"
Coper,2013,31.71,"27,39"
Coper,2014,37.73,"26,81"
Coper,2015,37.65,"27,32"
Coper,2016,33.57,"27,05"
Coper,2017,30.41,"24,26"
Coper,2018,34.57,"23,33"
Coper,2019,34.79,"26,72"
Coper,2020,32.45,"24,80"
Coper,2021,30.25,"26,87"
Corrales,2001,44.69,"32,53"
Corrales,2002,42.71,"31,29"
Corrales,2003,42.01,"29,65"
Corrales,2004,42.01,"28,52"
Corrales,2005,40.41,"29,83"
Corrales,2006,40.01,"28,82"
Corrales,2007,40.03,"30,44"
Corrales,2008,40.21,"26,22"
Corrales,2009,40.49,"28,88"
Corrales,2010,39.65,"28,31"
Corrales,2011,35.57,"25,97"
Corrales,2012,37.69,"28,36"
Corrales,2013,38.93,"30,01"
Corrales,2014,39.47,"30,08"
Corrales,2015,40.97,"30,37"
Corrales,2016,41.35,"30,58"
Corrales,2017,38.31,"26,46"
Corrales,2018,38.11,"26,55"
Corrales,2019,39.61,"29,15"
Corrales,2020,39.41,"26,41"
Corrales,2021,39.91,"31,99"
Covarachá,2001,45.69,"35,73"
Covarachá,2002,46.65,"36,08"
Covarachá,2003,45.47,"33,28"
Covarachá,2004,45.47,"33,59"
Covarachá,2005,46.19,"32,85"
Covarachá,2006,44.65,"34,05"
Covarachá,2007,43.87,"34,03"
Covarachá,2008,42.97,"28,56"
Covarachá,2009,43.19,"34,59"
Covarachá,2010,46.81,"32,71"
Covarachá,2011,40.15,"30,84"
Covarachá,2012,41.75,"33,63"
Covarachá,2013,46.19,"33,28"
Covarachá,2014,45.65,"35,09"
Covarachá,2015,45.55,"35,81"
Covarachá,2016,46.81,"35,88"
Covarachá,2017,43.01,"27,62"
Covarachá,2018,44.57,"27,90"
Covarachá,2019,43.97,"33,83"
Covarachá,2020,45.61,"29,98"
Covarachá,2021,42.59,"34,93"
Cubará,2001,40.03,"30,91"
Cubará,2002,35.81,"30,11"
Cubará,2003,38.55,"30,96"
Cubará,2004,38.55,"30,65"
Cubará,2005,36.61,"30,83"
Cubará,2006,35.31,"30,61"
Cubará,2007,39.49,"31,37"
Cubará,2008,39.93,"26,25"
Cubará,2009,34.63,"31,09"
Cubará,2010,39.79,"32,01"
Cubará,2011,39.99,"31,43"
Cubará,2012,36.01,"31,91"
Cubará,2013,36.19,"31,47"
Cubará,2014,36.33,"31,65"
Cubará,2015,38.51,"32,05"
Cubará,2016,39.31,"31,77"
Cubará,2017,38.15,"25,73"
Cubará,2018,33.27,"24,94"
Cubará,2019,39.35,"30,75"
Cubará,2020,38.39,"26,79"
Cubará,2021,34.29,"32,12"
Cucaita,2001,37.77,"28,04"
Cucaita,2002,38.79,"28,25"
Cucaita,2003,36.79,"26,43"
Cucaita,2004,36.79,"25,81"
Cucaita,2005,36.71,"26,16"
Cucaita,2006,33.57,"25,05"
Cucaita,2007,34.87,"25,85"
Cucaita,2008,33.99,"30,21"
Cucaita,2009,34.69,"26,41"
Cucaita,2010,37.15,"25,98"
Cucaita,2011,32.75,"23,43"
Cucaita,2012,32.51,"25,82"
Cucaita,2013,37.01,"26,28"
Cucaita,2014,36.63,"27,17"
Cucaita,2015,37.31,"29,04"
Cucaita,2016,39.15,"27,24"
Cucaita,2017,35.99,"31,31"
Cucaita,2018,35.55,"30,09"
Cucaita,2019,34.17,"25,61"
Cucaita,2020,36.73,"30,89"
Cucaita,2021,36.47,"28,45"
Cuítiva,2001,39.35,"29,29"
Cuítiva,2002,39.43,"29,58"
Cuítiva,2003,38.25,"27,53"
Cuítiva,2004,38.25,"26,42"
Cuítiva,2005,38.15,"26,64"
Cuítiva,2006,35.33,"25,81"
Cuítiva,2007,36.71,"27,24"
Cuítiva,2008,34.37,"33,31"
Cuítiva,2009,36.45,"26,71"
Cuítiva,2010,37.47,"27,03"
Cuítiva,2011,33.89,"23,28"
Cuítiva,2012,35.91,"26,31"
Cuítiva,2013,36.11,"27,28"
Cuítiva,2014,36.57,"27,11"
Cuítiva,2015,36.95,"26,71"
Cuítiva,2016,38.53,"27,03"
Cuítiva,2017,36.17,"33,07"
Cuítiva,2018,34.49,"33,17"
Cuítiva,2019,36.49,"26,89"
Cuítiva,2020,38.37,"34,56"
Cuítiva,2021,34.19,"27,05"
Duitama,2001,41.55,"30,04"
Duitama,2002,39.73,"29,87"
Duitama,2003,40.35,"29,70"
Duitama,2004,40.35,"29,02"
Duitama,2005,37.01,"28,27"
Duitama,2006,37.89,"27,53"
Duitama,2007,37.69,"27,94"
Duitama,2008,37.93,"27,86"
Duitama,2009,37.07,"29,20"
Duitama,2010,38.05,"29,45"
Duitama,2011,34.97,"26,15"
Duitama,2012,35.83,"28,15"
Duitama,2013,37.25,"29,47"
Duitama,2014,36.93,"28,79"
Duitama,2015,39.23,"30,15"
Duitama,2016,42.53,"29,60"
Duitama,2017,36.29,"25,24"
Duitama,2018,38.23,"25,17"
Duitama,2019,36.63,"28,48"
Duitama,2020,37.71,"27,30"
Duitama,2021,36.85,"29,63"
El Cocuy,2001,36.85,"26,55"
El Cocuy,2002,40.93,"25,27"
El Cocuy,2003,37.93,"25,27"
El Cocuy,2004,37.93,"24,07"
El Cocuy,2005,36.03,"25,04"
El Cocuy,2006,36.99,"24,41"
El Cocuy,2007,36.91,"25,95"
El Cocuy,2008,34.87,"23,37"
El Cocuy,2009,33.01,"24,88"
El Cocuy,2010,39.77,"25,31"
El Cocuy,2011,34.27,"22,09"
El Cocuy,2012,33.07,"24,50"
El Cocuy,2013,35.15,"24,51"
El Cocuy,2014,34.15,"24,46"
El Cocuy,2015,37.39,"25,53"
El Cocuy,2016,38.33,"25,33"
El Cocuy,2017,31.93,"27,68"
El Cocuy,2018,33.53,"27,62"
El Cocuy,2019,35.53,"23,29"
El Cocuy,2020,37.37,"29,49"
El Cocuy,2021,32.01,"25,09"
El Espino,2001,39.59,"30,69"
El Espino,2002,42.45,"30,07"
El Espino,2003,41.91,"29,34"
El Espino,2004,41.91,"29,14"
El Espino,2005,41.59,"29,13"
El Espino,2006,39.09,"29,00"
El Espino,2007,38.53,"28,41"
El Espino,2008,37.93,"28,06"
El Espino,2009,38.31,"29,63"
El Espino,2010,41.17,"27,59"
El Espino,2011,35.95,"26,13"
El Espino,2012,37.57,"28,56"
El Espino,2013,39.19,"28,98"
El Espino,2014,39.13,"30,10"
El Espino,2015,40.95,"31,09"
El Espino,2016,41.13,"29,84"
El Espino,2017,36.93,"23,49"
El Espino,2018,37.85,"23,58"
El Espino,2019,36.95,"28,34"
El Espino,2020,39.95,"24,87"
El Espino,2021,37.35,"30,84"
Firavitoba,2001,42.93,"32,42"
Firavitoba,2002,42.47,"33,15"
Firavitoba,2003,43.61,"30,49"
Firavitoba,2004,43.61,"29,15"
Firavitoba,2005,41.51,"29,18"
Firavitoba,2006,39.51,"27,60"
Firavitoba,2007,39.05,"29,40"
Firavitoba,2008,37.89,"28,31"
Firavitoba,2009,39.97,"29,24"
Firavitoba,2010,42.75,"28,39"
Firavitoba,2011,36.91,"25,14"
Firavitoba,2012,37.53,"27,87"
Firavitoba,2013,39.27,"29,62"
Firavitoba,2014,40.83,"29,36"
Firavitoba,2015,41.99,"30,92"
Firavitoba,2016,45.65,"29,68"
Firavitoba,2017,37.01,"27,24"
Firavitoba,2018,39.23,"27,69"
Firavitoba,2019,40.73,"28,37"
Firavitoba,2020,42.57,"29,17"
Firavitoba,2021,35.83,"29,59"
Floresta,2001,42.87,"33,18"
Floresta,2002,46.63,"30,81"
Floresta,2003,40.27,"28,15"
Floresta,2004,40.27,"27,75"
Floresta,2005,38.97,"28,41"
Floresta,2006,38.09,"26,62"
Floresta,2007,40.21,"28,21"
Floresta,2008,40.27,"27,07"
Floresta,2009,38.01,"27,61"
Floresta,2010,39.51,"27,72"
Floresta,2011,33.29,"24,76"
Floresta,2012,36.41,"26,81"
Floresta,2013,39.41,"29,05"
Floresta,2014,41.69,"29,46"
Floresta,2015,43.41,"31,37"
Floresta,2016,44.53,"29,57"
Floresta,2017,35.23,"26,53"
Floresta,2018,40.59,"27,55"
Floresta,2019,38.97,"27,92"
Floresta,2020,39.55,"29,23"
Floresta,2021,37.33,"30,42"
Gachantivá,2001,38.11,"29,55"
